Layer,Name,GEOID,Population,Longitude,Latitude,SVI,ViolentCrime,Robbery,Pop_2019_2023,InfantMortality,CrowdedHousing,TreeCanopy,LowFoodAccess,GradRate,Unemployment,PerCapitaIncome,PovertyRate,TeenBirthRate,BirthRate,IndLivingDiff,city_side,city_side_numeric
Community area,O'Hare,76,14416,-87.893699,41.975696,53.8255389,80.4419734,19.2915845,14996.9122,5.0658561,4.57233219,,75.7712841,91.3780953,3.98989928,42749.4139,8.13638498,6.2791749,27.838727,2.8727076,North,1
Community area,East Garfield Park,27,19995,-87.705892,41.878923,88.7791349,542.060539,184.765393,20536.2542,11.191047,4.61609716,18.4,52.3356797,82.3369846,16.8018328,24013.8222,37.8357258,30.672589,23.191275,6.67400303,North,1
Community area,Lower West Side,31,33716,-87.66757,41.850277,75.5032456,318.531315,102.325373,33260.6926,2.6578073,4.81066767,10.6,12.0954527,77.6106542,7.3383837,38578.6609,15.966886,11.386974,18.039745,4.30491039,North,1
Community area,Armour Square,34,13847,-87.633976,41.842083,87.9665766,104.220249,39.6605436,14175.6162,4.0983607,4.97674858,13.1,18.8411405,68.7048634,8.77556268,29703.6641,24.0012909,8.6810938,13.393862,7.50767298,South,0
Community area,Rogers Park,1,55454,-87.670171,42.00963,74.298426,298.203142,101.707708,54255.1172,6.3191153,5.02416852,27.4,5.67896157,89.8638317,6.2209274,38184.3071,17.4494801,9.1497288,18.261402,4.22613482,North,1
Community area,West Elsdon,62,18249,-87.724213,41.792977,79.193853,126.768666,42.9112878,18422.7393,5.6232427,5.02591703,12.7,23.4935226,73.5995554,7.60578348,29611.5931,10.5920784,12.127419,23.324495,2.93883605,South,0
Community area,Douglas,35,20292,-87.61868,41.835122,76.882298,187.151315,64.9145608,21758.1816,10.537408,5.10500379,21.6,36.5810694,89.0063281,15.0825705,37332.2863,26.9279037,9.1180632,17.574432,7.76634113,South,0
Community area,North Lawndale,29,34817,-87.717218,41.860197,89.5493917,832.610327,267.980518,31267.8586,9.8797251,5.42638812,17.7,22.3385452,80.6689168,13.5736276,22887.5935,33.2342411,36.080325,24.756081,6.54338004,North,1
Community area,Humboldt Park,23,53832,-87.720917,41.90008,87.8223699,933.23633,331.692233,55220.8116,7.7341736,5.67515601,16.5,16.426263,76.3161284,10.3194547,27001.3896,26.6379133,25.082826,25.337182,5.66172931,North,1
Community area,Chicago Lawn,66,55789,-87.695667,41.771849,87.6175186,496.439542,158.070299,53332.7232,7.7390824,5.78311529,18.5,27.0809917,75.4384316,14.3500384,23129.5308,22.409071,25.882055,25.372203,5.60254791,South,0
